score,weight1,weight2,weight3,weight4,weight5,weight6,population
177, 0.925694,0.063703,0.743251,0.826731,0.732407,0.152878, 0
1684, 0.242330,-0.852987,0.155516,0.259616,0.830485,0.850656, 0
163, 0.211146,0.755568,0.655420,-0.078429,-0.397263,-0.492162, 0
76, 0.454069,0.133249,-0.327974,0.182407,0.605142,0.728659, 0
339, 0.528773,-0.048170,0.159295,0.074194,-0.875458,0.046399, 0
346, -0.735228,-0.949764,-0.889897,-0.991977,0.876966,0.842509, 0
150, 0.160901,0.119296,0.989522,-0.683583,-0.621087,0.820007, 0
302, -0.832927,0.590059,0.575575,0.822494,-0.488370,-0.821688, 0
137, -0.669668,0.965699,0.311561,0.002358,0.148106,-0.083297, 0
1189, -0.268983,-0.323121,0.868532,0.890312,0.751073,0.993074, 0
559, -0.063289,-0.984155,-0.956690,0.046813,-0.976132,0.920276, 0
150, -0.110677,0.184769,0.039573,-0.121155,0.501186,0.418485, 0
159, -0.301148,0.668260,0.008544,-0.725574,0.490753,0.520174, 0
145, -0.547261,0.821085,0.485873,0.764299,-0.176557,-0.366021, 0
138, -0.318998,0.554459,0.310858,-0.450466,0.444771,0.061932, 0
1779, -0.457391,-0.618518,0.077777,-0.414081,0.428295,0.101645, 0
356, -0.493805,-0.682382,-0.713586,0.545768,0.196463,0.787601, 0
118, -0.035747,0.895315,0.455860,0.972796,-0.830259,-0.053387, 0
772, 0.492970,-0.377520,-0.232302,-0.021157,-0.613221,0.591141, 0
80, 0.612823,0.067781,0.145600,-0.076319,0.617316,-0.409629, 0
3297, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.101645, 1
582, -0.457391,-0.618518,0.077777,-0.414081,-1.968021,0.101645, 1
336, -0.493805,-0.682382,-0.713586,0.046813,0.196463,0.920276, 1
104, 0.925694,0.063703,0.575575,0.822494,0.732407,0.152878, 1
243, -0.832927,0.590059,-0.713586,0.545768,0.196463,-0.821688, 1
1470, -0.063289,-0.984155,-0.956690,0.046813,-0.976132,0.920276, 1
806, -0.735228,-0.949764,0.155516,-0.991977,0.830485,0.842509, 1
771, 0.492970,-0.377520,0.470107,-0.021157,-0.613221,0.591141, 1
290, -0.832927,0.590059,0.575575,0.545768,-0.488370,-0.821688, 1
1052, -0.268983,-0.852987,0.155516,0.420687,0.830485,0.850656, 1
91, 0.925694,0.063703,0.743251,0.826731,0.732407,0.152878, 1
243, -0.832927,0.590059,0.575575,0.822494,-0.488370,-0.821688, 1
303, 0.528773,-0.048170,0.159295,0.074194,-0.875458,0.046399, 1
2652, -0.735228,-0.949764,-0.889897,-0.991977,0.876966,0.842509, 1
349, -0.493805,-0.682382,-0.713586,0.545768,0.196463,0.787601, 1
547, -0.063289,-0.984155,-0.956690,0.046813,-0.976132,0.920276, 1
1009, 0.492970,-0.377520,-0.232302,-0.021157,-0.613221,0.591141, 1
350, -0.268983,-0.323121,0.868532,0.890312,0.751073,0.993074, 1
812, 0.242330,-0.852987,0.155516,0.259616,0.830485,0.850656, 1
3346, -0.457391,-0.618518,0.077777,-0.414081,0.428295,0.101645, 1
852, -0.457391,-0.618518,0.077777,-0.414081,0.876966,-1.493188, 2
1026, -0.735228,-0.984155,-0.956690,0.046813,0.830485,0.920276, 2
355, 0.242330,-0.377520,0.470107,0.259616,-0.613221,0.591141, 2
5905, -0.457391,-0.949764,0.077777,-0.991977,0.428295,0.101645, 2
5280, -0.457391,-0.618518,0.077777,0.890312,0.751073,0.101645, 2
1225, -0.735228,-0.949764,0.155516,-0.991977,0.830485,0.842509, 2
1468, 0.242330,-0.852987,0.155516,0.259616,0.830485,0.850656, 2
1023, -0.268983,-0.852987,0.155516,0.259616,0.830485,0.850656, 2
2695, -0.457391,-0.618518,0.470107,-0.021157,-0.613221,0.591141, 2
547, 0.242330,-0.852987,0.155516,-0.991977,0.876966,0.842509, 2
803, -0.457391,-0.618518,0.077777,-0.414081,-1.968021,0.101645, 2
354, 0.492970,-0.377520,0.470107,-0.021157,-0.613221,0.591141, 2
1445, -0.735228,-0.949764,0.155516,-0.991977,0.830485,0.842509, 2
2335, 0.242330,-0.852987,0.155516,0.259616,0.830485,0.850656, 2
990, 0.492970,-0.377520,-0.232302,-0.021157,-0.613221,0.591141, 2
1957, -0.268983,-0.852987,0.155516,0.420687,0.830485,0.850656, 2
321, -0.063289,-0.984155,-0.956690,0.046813,-0.976132,0.920276, 2
1741, -0.735228,-0.949764,-0.889897,-0.991977,0.876966,0.842509, 2
9803, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.101645, 2
2533, -0.457391,-0.618518,0.077777,-0.414081,0.428295,0.101645, 2
3146, -0.457391,-0.618518,0.077777,-0.991977,0.428295,0.101645, 3
1789, -0.735228,-0.618518,0.077777,0.890312,0.830485,0.842509, 3
2604, -0.457391,-0.949764,0.155516,-0.991977,0.428295,0.842509, 3
357, 0.242330,-0.949764,0.155516,-0.991977,0.830485,0.850656, 3
1216, -0.457391,-0.618518,0.077777,-0.414081,-0.613221,0.101645, 3
4390, -0.457391,-0.949764,0.077777,-0.414081,0.428295,0.101645, 3
20760, -0.457391,-0.949764,0.077777,0.890312,0.428295,0.101645, 3
1939, -0.457391,-0.618518,0.077777,-0.021157,0.751073,0.549831, 3
3131, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.850656, 3
312, -0.735228,-0.089900,-0.889897,-0.991977,0.830485,0.842509, 3
1229, -0.735228,-0.949764,0.155516,-0.991977,0.830485,0.842509, 3
330, 0.242330,-0.852987,0.155516,0.259616,0.830485,0.850656, 3
1041, -0.735228,-0.949764,-0.889897,-0.991977,0.876966,0.842509, 3
1443, -0.268983,-0.852987,0.155516,0.420687,0.830485,0.850656, 3
818, 0.242330,-0.852987,0.155516,0.259616,0.830485,0.850656, 3
5357, -0.457391,-0.618518,0.077777,-0.414081,0.428295,0.101645, 3
1243, -0.457391,-0.618518,0.470107,-0.021157,-0.613221,0.591141, 3
2935, -0.457391,-0.618518,0.077777,0.890312,0.751073,0.101645, 3
3101, -0.457391,-0.949764,0.077777,-0.991977,0.428295,0.101645, 3
2616, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.101645, 3
