score,linesCleared,step
0, 0, 0
200, 1, 1
200, 1, 2
0, 0, 3
200, 1, 4
0, 0, 5
200, 1, 6
200, 1, 7
0, 0, 8
800, 4, 9
400, 2, 10
2800, 12, 11
3800, 17, 12
1400, 7, 13
2400, 8, 14
3000, 9, 15
4800, 20, 16
10000, 38, 17
2400, 12, 18
3800, 19, 19
4400, 22, 20
2000, 8, 21
4000, 18, 22
5800, 27, 23
7000, 25, 24
3200, 16, 25
7400, 29, 26
1400, 7, 27
3600, 18, 28
4800, 18, 29
4200, 17, 30
2600, 13, 31
5800, 25, 32
9400, 43, 33
6400, 26, 34
6000, 20, 35
6000, 22, 36
4200, 15, 37
3600, 18, 38
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
