score,weight1,weight2,weight3,weight4,weight5,weight6,population
362, 0.059404,-0.553312,-0.956227,0.125361,-0.234665,0.018035, 0
1758, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 0
135, 0.921415,0.787680,-0.425454,0.604362,0.803215,-0.542023, 0
2580, -0.902798,-0.107002,0.681584,0.993991,-0.756776,-0.592092, 0
330, 0.793150,-0.238319,0.508110,0.194701,0.061271,-0.723220, 0
1888, 0.229493,-0.879325,-0.276532,0.273266,0.246036,0.488803, 0
158, -0.708699,0.578325,-0.811513,-0.396764,-0.163836,0.570943, 0
774, 0.438359,-0.242421,0.358622,-0.987095,-0.638058,0.161837, 0
2520, -0.529118,-0.540856,-0.945165,-0.847534,-0.546864,-0.701941, 0
1310, -0.439627,-0.753714,0.059740,-0.931517,0.440986,-0.878990, 0
344, -0.654737,-0.329520,-0.758315,0.068731,0.943746,0.487721, 0
1500, -0.442466,-0.764953,0.066046,-0.253979,-0.161717,0.902210, 0
2732, -0.683036,-0.723358,-0.340210,0.675586,-0.710454,0.021732, 0
998, -0.162577,-0.239572,0.480876,-0.107742,-0.087106,0.934012, 0
142, 0.190317,0.473267,-0.819703,-0.749943,0.541751,0.621284, 0
211, -0.628933,0.887013,-0.708236,-0.387247,-0.044256,-0.764490, 0
365, -0.899527,0.513278,-0.529444,0.166519,-0.740701,0.308839, 0
347, 0.068729,-0.423737,0.585481,0.728519,-0.748151,0.875027, 0
108, -0.249749,0.089272,-0.364544,-0.768873,0.981530,0.548350, 0
757, -0.834862,0.171848,0.021617,-0.654564,0.421905,-0.436632, 0
348, 0.298399,-0.239572,0.480876,0.273266,0.246036,0.488803, 1
2876, -0.683036,-0.723358,-0.340210,0.675586,-0.710454,-0.164877, 1
2512, -0.162577,-0.723358,-0.340210,-0.107742,-0.087106,0.021732, 1
5882, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 1
983, -0.962837,-1.156493,-0.340210,0.675586,-0.710454,1.718567, 1
550, -0.834862,0.171848,0.021617,-0.654564,0.421905,-0.436632, 1
10523, -0.683036,-0.753714,0.059740,0.675586,0.440986,0.021732, 1
1547, -0.902798,-0.540856,0.681584,-0.847534,-0.756776,-0.592092, 1
797, -0.442466,-0.540856,0.066046,-0.847534,-0.161717,0.902210, 1
2789, -0.834862,-0.300317,-0.688065,0.257839,0.421905,-0.164877, 1
292, -0.834862,0.171848,0.021617,-0.654564,0.421905,-0.436632, 1
801, 0.438359,-0.242421,0.358622,-0.987095,-0.638058,0.161837, 1
322, -0.162577,-0.239572,0.480876,-0.107742,-0.087106,0.934012, 1
3898, -0.439627,-0.753714,0.059740,-0.931517,0.440986,-0.878990, 1
1458, -0.442466,-0.764953,0.066046,-0.253979,-0.161717,0.902210, 1
2963, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 1
3156, 0.229493,-0.879325,-0.276532,0.273266,0.246036,0.488803, 1
1726, -0.529118,-0.540856,-0.945165,-0.847534,-0.546864,-0.701941, 1
2158, -0.902798,-0.107002,0.681584,0.993991,-0.756776,-0.592092, 1
1791, -0.683036,-0.723358,-0.340210,0.675586,-0.710454,0.021732, 1
2446, -0.902798,-0.107002,-0.688065,0.993991,-0.015164,-0.164877, 2
6163, -0.439627,-0.723358,0.059740,-0.931517,0.440986,-0.164877, 2
311, 0.229493,-0.879325,-0.688065,0.257839,-1.415789,0.488803, 2
1254, -0.834862,-0.723358,-0.340210,0.257839,0.421905,0.021732, 2
4506, -0.683036,-0.723358,-0.340210,0.675586,-0.710454,-0.592092, 2
5252, -1.907110,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 2
831, 1.536469,-0.723358,-0.688065,0.675586,-0.710454,-0.164877, 2
806, 0.229493,-0.879325,-1.492547,0.273266,0.382456,0.488803, 2
7883, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 2
759, -0.834862,-0.753714,-0.688065,0.257839,0.421905,0.021732, 2
2110, -0.683036,-0.723358,-0.340210,0.675586,-0.710454,0.021732, 2
1769, -0.902798,-0.107002,0.681584,0.993991,-0.756776,-0.592092, 2
1225, -0.162577,-0.723358,-0.340210,-0.107742,-0.087106,0.021732, 2
1077, -0.834862,-0.300317,-0.688065,0.257839,0.421905,-0.164877, 2
4562, -0.683036,-0.723358,-0.340210,0.675586,-0.710454,-0.164877, 2
7782, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 2
369, 0.229493,-0.879325,-0.276532,0.273266,0.246036,0.488803, 2
2962, -0.439627,-0.753714,0.059740,-0.931517,0.440986,-0.878990, 2
7979, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 2
6123, -0.683036,-0.753714,0.059740,0.675586,0.440986,0.021732, 2
7281, -0.683036,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 3
4286, -0.439627,-0.753714,-0.340210,-0.931517,0.440986,-0.164877, 3
4049, -0.683036,-0.723358,0.059740,0.663092,0.440986,-0.878990, 3
9370, -1.907110,-0.753714,-0.688065,0.675586,0.440986,0.021732, 3
3890, -0.439627,-0.300317,-0.688065,-0.931517,0.440986,-0.878990, 3
3537, -0.683036,-0.723358,0.367648,0.675586,-0.710454,-0.164877, 3
7534, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 3
1792, -0.667710,-0.300317,-0.688065,1.483233,-0.672343,-0.164877, 3
613, 1.520136,-0.723358,-0.340210,0.675586,-0.710454,-0.592092, 3
10343, -0.683036,-1.875483,0.059740,0.675586,0.440986,-0.239839, 3
2630, -0.902798,-0.107002,-0.688065,0.993991,-0.015164,-0.164877, 3
5160, -0.439627,-0.753714,0.059740,-0.931517,0.440986,-0.878990, 3
4272, -0.683036,-0.723358,-0.340210,0.675586,-0.710454,-0.592092, 3
3858, -0.683036,-0.723358,-0.340210,0.675586,-0.710454,-0.164877, 3
4336, -1.907110,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 3
6302, -0.683036,-0.753714,0.059740,0.675586,0.440986,0.021732, 3
3874, -0.439627,-0.723358,0.059740,-0.931517,0.440986,-0.164877, 3
8391, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 3
4131, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 3
8668, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 3
3257, -0.439627,-0.300317,0.059740,-0.931517,0.440986,-0.878990, 4
3169, -1.907110,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 4
2864, -0.439627,-0.753714,-0.340210,-0.931517,0.440986,-0.878990, 4
5268, -0.683036,-0.300317,0.059740,0.257839,0.440986,-0.164877, 4
3106, -1.907110,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 4
2436, -0.683036,-0.753714,-0.688065,0.257839,0.440986,0.021732, 4
7275, -1.907110,-0.753714,-0.340210,0.675586,0.440986,0.021732, 4
6563, -0.439627,-0.753714,-0.340210,-0.931517,0.440986,-0.878990, 4
9078, -0.683036,-0.300317,-0.688065,0.257839,0.440986,-0.239839, 4
4235, -0.667710,-0.300317,0.059740,0.675586,0.382456,-0.164877, 4
4988, -0.439627,-0.753714,-0.340210,-0.931517,0.440986,-0.164877, 4
2411, -1.907110,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 4
5338, -0.439627,-0.753714,0.059740,-0.931517,0.440986,-0.878990, 4
6694, -0.683036,-0.753714,0.059740,0.675586,0.440986,0.021732, 4
1289, -0.683036,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 4
1528, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 4
5669, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 4
4858, -0.667710,-0.300317,-0.688065,0.257839,0.382456,-0.164877, 4
8056, -1.907110,-0.753714,-0.688065,0.675586,0.440986,0.021732, 4
294, -0.014192,0.184167,0.017350,0.288438,-0.613185,-0.400235, 0
582, 0.721404,-0.582397,-0.673497,-0.399875,-0.570593,0.755348, 0
1013, 0.303142,-0.977857,0.263926,-0.537556,-0.280517,0.681303, 0
186, 0.123445,0.179688,0.600976,-0.812533,-0.819524,-0.319761, 0
861, 0.454034,-0.881600,0.209738,0.821143,-0.910846,-0.689675, 0
