score,linesCleared,individual,population
1150, 2, 0, 0
200, 0, 1, 0
250, 0, 2, 0
8490, 36, 3, 0
3330, 13, 4, 0
610, 1, 5, 0
270, 0, 6, 0
300, 0, 7, 0
310, 0, 8, 0
270, 0, 9, 0
550, 1, 10, 0
310, 0, 11, 0
330, 0, 12, 0
190, 0, 13, 0
240, 0, 14, 0
240, 0, 15, 0
3510, 14, 16, 0
3800, 8, 17, 0
310, 0, 18, 0
150, 0, 19, 0
2860, 11, 0, 1
8140, 22, 1, 1
6010, 25, 2, 1
2420, 9, 3, 1
370, 0, 4, 1
340, 0, 5, 1
260, 0, 6, 1
300, 0, 7, 1
320, 0, 8, 1
310, 0, 9, 1
2420, 4, 10, 1
300, 0, 11, 1
4670, 19, 12, 1
300, 0, 13, 1
3480, 12, 14, 1
280, 0, 15, 1
3580, 9, 16, 1
320, 0, 17, 1
280, 0, 18, 1
3450, 12, 19, 1
2090, 6, 0, 2
2630, 10, 1, 2
3080, 12, 2, 2
5380, 17, 3, 2
5070, 19, 4, 2
11360, 38, 5, 2
5790, 24, 6, 2
2840, 11, 7, 2
330, 0, 8, 2
6380, 23, 9, 2
580, 1, 10, 2
15820, 65, 11, 2
350, 0, 12, 2
550, 1, 13, 2
7840, 26, 14, 2
3030, 12, 15, 2
3030, 10, 16, 2
330, 0, 17, 2
820, 2, 18, 2
830, 2, 19, 2
3110, 12, 0, 3
4490, 13, 1, 3
16720, 53, 2, 3
2360, 7, 3, 3
3770, 15, 4, 3
1260, 4, 5, 3
2400, 9, 6, 3
2170, 8, 7, 3
1940, 7, 8, 3
5110, 12, 9, 3
1290, 4, 10, 3
23030, 65, 11, 3
3030, 10, 12, 3
2830, 11, 13, 3
82580, 271, 14, 3
2560, 8, 15, 3
5790, 24, 16, 3
20880, 66, 17, 3
350, 0, 18, 3
330, 0, 19, 3
109580, 343, 0, 4
6870, 20, 1, 4
19780, 79, 2, 4
10330, 37, 3, 4
2610, 10, 4, 4
2690, 5, 5, 4
1250, 4, 6, 4
6630, 26, 7, 4
12190, 47, 8, 4
550, 1, 9, 4
19550, 78, 10, 4
6240, 26, 11, 4
7140, 30, 12, 4
10710, 44, 13, 4
12670, 51, 14, 4
6100, 20, 15, 4
3240, 11, 16, 4
5180, 16, 17, 4
8570, 31, 18, 4
15560, 62, 19, 4
49600, 144, 0, 5
18720, 76, 1, 5
9350, 38, 2, 5
9740, 38, 3, 5
12680, 51, 4, 5
9090, 35, 5, 5
14110, 52, 6, 5
17000, 49, 7, 5
3700, 11, 8, 5
4610, 17, 9, 5
20190, 56, 10, 5
14660, 51, 11, 5
1960, 7, 12, 5
10860, 43, 13, 5
154920, 509, 14, 5
2130, 6, 15, 5
570, 1, 16, 5
2430, 9, 17, 5
10710, 44, 18, 5
27030, 81, 19, 5
77590, 279, 0, 6
26120, 77, 1, 6
8870, 27, 2, 6
51850, 186, 3, 6
11970, 46, 4, 6
10540, 22, 5, 6
78430, 281, 6, 6
14240, 49, 7, 6
9490, 35, 8, 6
4380, 16, 9, 6
10510, 29, 10, 6
370, 0, 11, 6
35650, 130, 12, 6
19020, 72, 13, 6
1250, 4, 14, 6
13440, 49, 15, 6
13490, 44, 16, 6
23030, 81, 17, 6
1950, 7, 18, 6
14340, 46, 19, 6
24800, 80, 0, 7
30250, 106, 1, 7
25990, 87, 2, 7
12340, 37, 3, 7
33980, 119, 4, 7
64150, 182, 5, 7
3870, 14, 6, 7
22400, 80, 7, 7
12950, 54, 8, 7
27450, 74, 9, 7
4460, 11, 10, 7
165840, 577, 11, 7
128060, 450, 12, 7
6700, 28, 13, 7
10200, 40, 14, 7
1040, 3, 15, 7
20060, 66, 16, 7
13360, 54, 17, 7
3110, 12, 18, 7
20770, 55, 19, 7
19530, 69, 0, 8
69990, 240, 1, 8
11600, 39, 2, 8
65130, 229, 3, 8
82340, 293, 4, 8
96780, 327, 5, 8
16450, 57, 6, 8
2160, 6, 7, 8
22230, 74, 8, 8
26560, 102, 9, 8
48100, 180, 10, 8
65890, 204, 11, 8
2990, 10, 12, 8
42390, 128, 13, 8
22140, 54, 14, 8
7120, 28, 15, 8
2400, 9, 16, 8
5480, 19, 17, 8
33600, 112, 18, 8
60380, 199, 19, 8
44830, 153, 0, 9
23670, 82, 1, 9
58800, 176, 2, 9
38630, 129, 3, 9
80200, 264, 4, 9
13300, 43, 5, 9
10550, 22, 6, 9
66550, 198, 7, 9
65450, 202, 8, 9
39290, 116, 9, 9
30320, 94, 10, 9
106990, 353, 11, 9
56120, 173, 12, 9
29190, 87, 13, 9
370, 0, 14, 9
15950, 53, 15, 9
