score,linesCleared,individual,population
1930, 5, 0, 0
530, 1, 1, 0
170, 0, 2, 0
160, 0, 3, 0
200, 0, 4, 0
380, 0, 5, 0
390, 0, 6, 0
370, 0, 7, 0
170, 0, 8, 0
370, 0, 9, 0
350, 0, 10, 0
170, 0, 11, 0
2600, 8, 12, 0
200, 0, 13, 0
160, 0, 14, 0
1050, 3, 15, 0
550, 1, 16, 0
3630, 11, 17, 0
630, 1, 18, 0
820, 2, 19, 0
3760, 10, 0, 1
2380, 7, 1, 1
7730, 22, 2, 1
580, 1, 3, 1
780, 2, 4, 1
2840, 9, 5, 1
330, 0, 6, 1
1050, 3, 7, 1
2220, 3, 8, 1
1240, 2, 9, 1
6850, 18, 10, 1
190, 0, 11, 1
330, 0, 12, 1
370, 0, 13, 1
520, 1, 14, 1
360, 0, 15, 1
350, 0, 16, 1
2310, 7, 17, 1
1660, 4, 18, 1
200, 0, 0, 0
